value2,latitude,longitude,n,ToLat,ToLong
Africa,-7.468496,35.544591,45,23.775098,120.766591
Alaska,63.932785,-151.957706,1,23.775098,120.766591
America,36.607063,-97.232323,33,23.775098,120.766591
Antilles,18.963518,-72.226732,1,23.775098,120.766591
Arabia,16.86903,-91.853211,1,23.775098,120.766591
Argentina,-35.743751,-65.111866,1,23.775098,120.766591
Asia,33.641018,100.709783,19,23.775098,120.766591
Asia ,33.641018,100.709783,1,23.775098,120.766591
Australasia,-36.944279,147.620016,2,23.775098,120.766591
Australia,-36.944279,147.620016,13,23.775098,120.766591
Australia ,-36.944279,147.620016,1,23.775098,120.766591
Bangladesh,23.719314,90.258277,1,23.775098,120.766591
Bolivia,-17.788462,-64.416663,1,23.775098,120.766591
Brazil,-7.90008,-53.661202,8,23.775098,120.766591
British Islands,52.442688,-3.347418,1,23.775098,120.766591
C. Africa,7.003594,21.368886,1,23.775098,120.766591
C. America,15.508846,-86.086473,33,23.775098,120.766591
C. America ,15.508846,-86.086473,1,23.775098,120.766591
C. Asia,37.033735,64.35174,4,23.775098,120.766591
C. Brazil,-7.90008,-53.661202,1,23.775098,120.766591
C. China,31.101214,106.451845,1,23.775098,120.766591
C. Europe,49.986304,15.440277,2,23.775098,120.766591
C. Siberia,65.586177,169.529921,1,23.775098,120.766591
C. USA,63.932785,-151.957706,2,23.775098,120.766591
Canary Islands,28.24537,-16.618306,2,23.775098,120.766591
Caribbean ,18.963518,-72.226732,3,23.775098,120.766591
Cental America,15.508846,-86.086473,1,23.775098,120.766591
Ceylon,7.816786,80.744948,1,23.775098,120.766591
Chile,-24.894453,-69.769772,1,23.775098,120.766591
China,31.101214,106.451845,26,23.775098,120.766591
Coastal regions of tropical America,23.972486,-98.325628,1,23.775098,120.766591
Costa Rica,9.827947,-83.124422,1,23.775098,120.766591
Cuba,21.62777,-78.084432,2,23.775098,120.766591
E. Africa,-7.468496,35.544591,5,23.775098,120.766591
E. Africa ,-7.468496,35.544591,1,23.775098,120.766591
E. Asia,31.101214,106.451845,8,23.775098,120.766591
E. Asia ,31.101214,106.451845,1,23.775098,120.766591
E. Australia ,-36.944279,147.620016,1,23.775098,120.766591
E. China,31.101214,106.451845,2,23.775098,120.766591
E. Mexico,23.972486,-98.325628,1,23.775098,120.766591
E. USA,35.577771,-77.205526,1,23.775098,120.766591
E. tropical Africa ,-7.468496,35.544591,1,23.775098,120.766591
E.ern Europe,35.577771,-77.205526,1,23.775098,120.766591
E.ern Mediterranean,49.08253,37.033536,1,23.775098,120.766591
Ecuador,-1.045755,-76.6763,1,23.775098,120.766591
El Salvador,13.532061,-88.891361,1,23.775098,120.766591
Eurasia,49.053994,47.312095,17,23.775098,120.766591
Eurasia ,49.053994,47.312095,1,23.775098,120.766591
Europe,49.986304,15.440277,70,23.775098,120.766591
Europe to W. Asia,49.053994,47.312095,1,23.775098,120.766591
Guatemala,16.524592,-90.125887,2,23.775098,120.766591
Hawaii,19.552966,-155.515557,2,23.775098,120.766591
Hawaiian Islands,19.552966,-155.515557,1,23.775098,120.766591
Himalaya to China,28.445142,84.187804,1,23.775098,120.766591
Himalayas,28.445142,84.187804,1,23.775098,120.766591
Hispaniola,19.051204,-72.101362,1,23.775098,120.766591
Honduras,15.2278,-85.448517,1,23.775098,120.766591
India,23.441718,79.340642,30,23.775098,120.766591
Indonesia,-0.004371,114.536718,4,23.775098,120.766591
Jamaica,18.372633,-77.555624,1,23.775098,120.766591
Japan,35.760036,137.474494,12,23.775098,120.766591
Java,-7.06117,109.197626,1,23.775098,120.766591
Korea,37.878507,127.957978,2,23.775098,120.766591
Laos,19.248355,103.659549,1,23.775098,120.766591
Luzon,17.152146,121.379826,1,23.775098,120.766591
Madagascar,-19.644703,46.010316,10,23.775098,120.766591
Madagascar ,-19.644703,46.010316,1,23.775098,120.766591
Madeira,32.734344,-17.012597,1,23.775098,120.766591
Malaysia,2.613856,102.99581,8,23.775098,120.766591
Malesia,2.613856,102.99581,1,23.775098,120.766591
Mascarene Isl,-20.068465,57.536971,1,23.775098,120.766591
Maxico,23.972486,-98.325628,1,23.775098,120.766591
Mediterranean,35.407978,24.632114,2,23.775098,120.766591
Mediterranean region,35.407978,24.632114,3,23.775098,120.766591
Mexico,23.972486,-98.325628,34,23.775098,120.766591
Mexico ,23.972486,-98.325628,1,23.775098,120.766591
Mexico to S. America,23.972486,-98.325628,1,23.775098,120.766591
Micronesia,-4.496558,137.761855,1,23.775098,120.766591
Middle E.,23.441718,79.340642,1,23.775098,120.766591
Middle E. Indian subcontinent,23.441718,79.340642,1,23.775098,120.766591
Myanmar,23.611217,96.165685,1,23.775098,120.766591
N. Africa,30.690279,13.058586,10,23.775098,120.766591
N. America,47.999775,-102.526385,64,23.775098,120.766591
N. Asia,46.114824,120.323102,1,23.775098,120.766591
N. Europe,62.990506,11.686013,2,23.775098,120.766591
N. Malay Peninsula,2.613856,102.99581,1,23.775098,120.766591
N.E. America,47.999775,-102.526385,1,23.775098,120.766591
N.E. India,23.441718,79.340642,1,23.775098,120.766591
N.E. tropical Africa,30.690279,13.058586,1,23.775098,120.766591
N.ern Hemisphere,47.999775,-102.526385,2,23.775098,120.766591
N.ern S. America,47.999775,-102.526385,3,23.775098,120.766591
Neotropics,23.972486,-98.325628,1,23.775098,120.766591
New Guinea,-3.462719,139.91385,2,23.775098,120.766591
Oceania,-36.944279,147.620016,1,23.775098,120.766591
Pacific islands,-3.462719,139.91385,1,23.775098,120.766591
Peru,-12.132241,-74.48603,2,23.775098,120.766591
Philippines,17.152146,121.379826,3,23.775098,120.766591
Philippines ,17.152146,121.379826,1,23.775098,120.766591
Polynesia,-17.897331,178.297119,2,23.775098,120.766591
Reunion,-21.111008,55.450136,1,23.775098,120.766591
Russia,63.110867,93.522798,1,23.775098,120.766591
S. Africa,-32.206348,24.003635,6,23.775098,120.766591
S. Africa ,-32.206348,24.003635,1,23.775098,120.766591
S. America,-26.216583,-63.489132,96,23.775098,120.766591
S. America ,-26.216583,-63.489132,3,23.775098,120.766591
S. Asia,22.098772,109.245917,18,23.775098,120.766591
S. Asia ,22.098772,109.245917,2,23.775098,120.766591
S. Australia,-33.942104,135.81819,1,23.775098,120.766591
S. China,22.098772,109.245917,5,23.775098,120.766591
S. Europe,41.785359,13.648828,3,23.775098,120.766591
S. Europe to W. Asia,39.38374,28.600711,1,23.775098,120.766591
S. Greel,23.441718,79.340642,1,23.775098,120.766591
S. Korea,37.066072,128.724512,1,23.775098,120.766591
S. Mexico,23.972486,-98.325628,1,23.775098,120.766591
S. Mexico to Brazil,23.972486,-98.325628,1,23.775098,120.766591
S. USA,23.972486,-98.325628,3,23.775098,120.766591
S. coasts of USA,26.885876,-81.25622,1,23.775098,120.766591
S.E. Africa,-7.468496,35.544591,1,23.775098,120.766591
S.E. Asia,2.613856,102.99581,17,23.775098,120.766591
S.E. Asia ,2.613856,102.99581,1,23.775098,120.766591
S.E. USA,23.972486,-98.325628,2,23.775098,120.766591
S.W. Asia,19.442954,73.389017,2,23.775098,120.766591
S.W. Europe,40.136137,-8.280184,1,23.775098,120.766591
S.W. Pacific islands,18.338598,-66.530601,1,23.775098,120.766591
S.ern N. America,23.972486,-98.325628,2,23.775098,120.766591
S.ern S. America,23.972486,-98.325628,1,23.775098,120.766591
Siberia,65.657677,157.551001,1,23.775098,120.766591
Sri Lanka,7.90385,80.876784,6,23.775098,120.766591
Subtropical Asia,28.0834,117.183355,1,23.775098,120.766591
Thail,9.805078,98.775163,1,23.775098,120.766591
Tropical  Africa,30.690279,13.058586,1,23.775098,120.766591
Tropical Africa,30.690279,13.058586,30,23.775098,120.766591
Tropical America,23.972486,-98.325628,121,23.775098,120.766591
Tropical Asia,9.805078,98.775163,18,23.775098,120.766591
Tropical C. America,28.823029,-98.060606,1,23.775098,120.766591
Tropical S. America,28.823029,-98.060606,2,23.775098,120.766591
Tropical S. America ,28.823029,-98.060606,1,23.775098,120.766591
Tropics,0.708311,-64.53118,1,23.775098,120.766591
USA,36.607063,-97.232323,1,23.775098,120.766591
Venezuela,8.446956,-65.048511,1,23.775098,120.766591
Vietnam,14.089529,108.290136,2,23.775098,120.766591
W. Africa ,-2.320862,10.720265,1,23.775098,120.766591
W. Asia,39.805332,47.910421,6,23.775098,120.766591
W. Asia ,39.805332,47.910421,1,23.775098,120.766591
W. Europe,48.436796,-2.57421,1,23.775098,120.766591
W. Japan,36.799884,136.968802,1,23.775098,120.766591
W. coasts of USA,36.291399,-120.867615,1,23.775098,120.766591
W.ern Asia ,39.805332,47.910421,1,23.775098,120.766591
W.ern Hemisphere,39.805332,47.910421,1,23.775098,120.766591
W.ern N. America,36.607063,-97.232323,2,23.775098,120.766591
Warm America,23.972486,-98.325628,1,23.775098,120.766591
Warm temperate S. America,-37.934708,-60.809545,1,23.775098,120.766591
subtropical Africa,-7.468496,35.544591,1,23.775098,120.766591
subtropical America ,36.607063,-97.232323,2,23.775098,120.766591
temperate Africa ,-32.206348,24.003635,1,23.775098,120.766591
tropical Africa,30.690279,13.058586,1,23.775098,120.766591
tropical Asia to the Pacific,9.805078,98.775163,1,23.775098,120.766591
tropical S. America,28.823029,-98.060606,1,23.775098,120.766591
