Y,Lat,Long,N,Change
1850,17.5,72.5,1,-2.19
1850,2.5,-52.5,1,0.98
1850,27.5,87.5,1,-1.45
1850,32.5,122.5,1,-0.57
1850,32.5,127.5,1,-1.48
1850,37.5,117.5,1,-0.85
1850,37.5,12.5,1,-3.52
1850,37.5,-7.5,2,-2.35
1850,37.5,-77.5,2,1.84
1850,42.5,12.5,2,-4.16
1850,-42.5,147.5,1,-0.97
1850,42.5,2.5,2,-2.56
1850,42.5,27.5,1,-2.4
1850,42.5,32.5,2,-3.48
1850,42.5,42.5,1,-0.88
1850,42.5,47.5,1,-4
1850,42.5,52.5,1,-5.75
1850,42.5,-67.5,1,0.86
1850,42.5,-72.5,4,0.59
1850,42.5,-7.5,1,0.64
1850,42.5,7.5,3,-4
1850,42.5,-77.5,3,2.67
1850,42.5,-92.5,1,1.66
1850,47.5,-122.5,1,-1.63
1850,47.5,12.5,17,-4.36
1850,47.5,17.5,8,-5.73
1850,47.5,22.5,1,-7.83
1850,47.5,2.5,3,-4.25
1850,47.5,27.5,1,-6.85
1850,47.5,32.5,4,-5.48
1850,47.5,42.5,1,-7.85
1850,47.5,47.5,1,-7.08
1850,47.5,7.5,18,-4.99
1850,52.5,117.5,1,-4.84
1850,52.5,12.5,14,-7.74
1850,52.5,17.5,4,-7.87
1850,52.5,22.5,3,-9.5
1850,52.5,2.5,1,-5.29
1850,52.5,-2.5,6,-3.48
1850,52.5,27.5,1,-9.35
1850,52.5,37.5,1,-11.12
1850,52.5,42.5,1,-8.99
1850,52.5,52.5,1,-9.42
1850,52.5,57.5,1,-9.22
1850,52.5,-7.5,2,-2.39
1850,52.5,7.5,7,-6.8
1850,52.5,82.5,1,-9.97
1850,57.5,12.5,2,-5.9
1850,57.5,-137.5,1,-7.56
1850,57.5,22.5,3,-9.97
1850,57.5,-2.5,2,-3.16
1850,57.5,27.5,1,-9.86
1850,57.5,32.5,2,-8.03
1850,57.5,37.5,1,-9.91
1850,57.5,42.5,1,-9.99
1850,57.5,47.5,2,-9.07
1850,57.5,57.5,2,-11.31
