gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
94748838,85312280-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,,SPECIES,Mitrastemon yamamotoi (Makino) Makino,Mitrastemon yamamotoi,,PG,Watut River-Mt Amungwiwa Track,Morobe,PRESENT,,c4254a00-cb2b-11d8-bf68-b8a03c50a862,-7.316667,146.666667,,,1585,,,,27920,9,6,1976,3941101,3941101,OCCURRENCE,BRI,PNGplants,40470,,,,CC_BY_4_0,,Van Royen P.,,,45233.44455,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
94748819,85312280-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,,SPECIES,Mitrastemon yamamotoi (Makino) Makino,Mitrastemon yamamotoi,,PG,Locality not databased,,PRESENT,,c4254a00-cb2b-11d8-bf68-b8a03c50a862,-6.375,145.941667,,,1500,,,,23216,24,7,1963,3941101,3941101,OCCURRENCE,BRI,PNGplants,40469,,,,CC_BY_4_0,,Hartley T.G.,,,45233.44455,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
94747575,85312280-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,,SPECIES,Mitrastemon yamamotoi (Makino) Makino,Mitrastemon yamamotoi,,PG,"MOROBE PROV: Wau-Salamaua Track, 12 km NE of Wau.",Morobe,PRESENT,,c4254a00-cb2b-11d8-bf68-b8a03c50a862,-7.316667,146.8,,,1800,,,,30165,2,8,1982,3941101,3941101,OCCURRENCE,CBG,PNGplants,143504,,,,CC_BY_4_0,,Streimann H.,,,45233.44455,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
94747257,85312280-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,,SPECIES,Mitrastemon yamamotoi (Makino) Makino,Mitrastemon yamamotoi,,PG,"Morobe Province, track from Watut River to Mount Amungwiwa.",Morobe,PRESENT,,c4254a00-cb2b-11d8-bf68-b8a03c50a862,0,0,,,1370,,,,27920,9,6,1976,3941101,3941101,OCCURRENCE,CBG,PNGplants,133856,,,,CC_BY_4_0,,Royen P. van,,,45233.44454,,ZERO_COORDINATE;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_COORDINATE_MISMATCH;BASIS_OF_RECORD_INVALID
729324324,81031dbc-47f2-470d-9efa-e809b8310d62,urn:catalog:HYO:VP:C1-119702,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,,SPECIES,Mitrastemon yamamotoi (Makino) Makino,Mitrastemon yamamotoi,,JP,"Okinawa-ken, Kunigami-gun, Yonaha-dame Mt.",Okinawa,PRESENT,,c3367060-856b-11d9-8486-b8a03c50a862,,,,,,,,,27750,22,12,1975,3941101,3941101,PRESERVED_SPECIMEN,HYO,VP,C1-119702,,,,CC_BY_NC_4_0,,N.Satomi,,,45176.62385,,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
729324275,81031dbc-47f2-470d-9efa-e809b8310d62,urn:catalog:HYO:VP:C1-136911,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,,SPECIES,Mitrastemon yamamotoi (Makino) Makino,Mitrastemon yamamotoi,,JP,"Okinawa Pref.; Kunikami-gun, Kunikami-mura, Nishime-dake.",Okinawa,PRESENT,,c3367060-856b-11d9-8486-b8a03c50a862,26.799999,128.267,,,385,35,,,35016,13,11,1995,3941101,3941101,PRESERVED_SPECIMEN,HYO,VP,C1-136911,28475,,,CC_BY_NC_4_0,,T.Kobayashi,,,45176.62386,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
729324274,81031dbc-47f2-470d-9efa-e809b8310d62,urn:catalog:HYO:VP:C1-132282,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,,SPECIES,Mitrastemon yamamotoi (Makino) Makino,Mitrastemon yamamotoi,,JP,"Okinawa Pref.; Kinigami-gun, Kunigami-son, upper reaches of Funga river.",Okinawa,PRESENT,,c3367060-856b-11d9-8486-b8a03c50a862,,,,,180,0,,,35418,19,12,1996,3941101,3941101,PRESERVED_SPECIMEN,HYO,VP,C1-132282,13894,H.Akiyama,,CC_BY_NC_4_0,,Hiroyuki Akiyama,,,45176.62386,,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4431209728,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/188474783,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,kanehirai,VARIETY,Mitrastemon yamamotoi var. kanehirai (Yamam.) Makino,Mitrastemon yamamotoi kanehirai,,TW,,Taipei,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,24.968675,121.581908,30025,,,,,,45221.48431,22,10,2023,8021762,3941101,HUMAN_OBSERVATION,iNaturalist,Observations,188474783,,friend1047,45221.37094,CC_BY_NC_4_0,Wolli Huang,Wolli Huang,,,45233.52151,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4430989257,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/187218471,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,kanehirai,VARIETY,Mitrastemon yamamotoi var. kanehirai (Yamam.) Makino,Mitrastemon yamamotoi kanehirai,,TW,,Taipei,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,24.965956,121.500096,30025,,,,,,45211.56912,12,10,2023,8021762,3941101,HUMAN_OBSERVATION,iNaturalist,Observations,187218471,,Lilian Huang,45211.32855,CC_BY_NC_4_0,Lilian Huang,Lilian Huang,,,45233.52064,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4430632786,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/187766568,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,kanehirai,VARIETY,Mitrastemon yamamotoi var. kanehirai (Yamam.) Makino,Mitrastemon yamamotoi kanehirai,,TW,,Taiwan,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,23.885633,120.969389,30133,,,,,,45213.51926,14,10,2023,8021762,3941101,HUMAN_OBSERVATION,iNaturalist,Observations,187766568,,Gavin,45215.47659,CC_BY_NC_4_0,Gavin,Gavin,,,45233.51995,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
