Time(EDT,Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Mon 11:48:49 AM,25.0818,121.2501,↗ 49°,169,194,125, Level, FlightAware ADS-B (KHH / RCKH)
Mon 11:49:06 AM,25.0905,121.2607,↗ 47°,168,193,550,"1,591 Climbing", FlightAware ADS-B (TSA / RCSS)
Mon 11:49:22 AM,25.0989,121.271,↗ 49°,165,190,"1,000","1,594 Climbing", FlightAware ADS-B (TPE / RCTP)
Mon 11:49:38 AM,25.1065,121.2807,↗ 50°,165,190,"1,400","1,594 Climbing", FlightAware ADS-B (TPE / RCTP)
Mon 11:49:54 AM,25.1151,121.2923,↗ 51°,169,194,"1,850","1,591 Climbing", FlightAware ADS-B (TPE / RCTP)
Mon 11:50:11 AM,25.1245,121.3021,↗ 32°,173,199,"2,275","1,591 Climbing", FlightAware ADS-B (KHH / RCKH)
Mon 11:50:27 AM,25.1366,121.3056,↑ 358°,178,205,"2,725","1,594 Climbing", FlightAware ADS-B (TSA / RCSS)
Mon 11:50:43 AM,25.1501,121.3023,↖ 337°,192,221,"3,125","1,136 Climbing", FlightAware ADS-B (KHH / RCKH)
Mon 11:51:00 AM,25.1625,121.2906,← 302°,223,257,"3,350",864 Climbing, FlightAware ADS-B (KHH / RCKH)
Mon 11:51:16 AM,25.1667,121.2723,← 267°,244,281,"3,600","1,071 Climbing", FlightAware ADS-B (KHH / RCKH)
Mon 11:51:35 AM,25.1605,121.2497,↙ 243°,263,303,"3,975","1,071 Climbing", FlightAware ADS-B (TPE / RCTP)
Mon 11:51:51 AM,25.1496,121.2298,↙ 238°,282,325,"4,225","1,875 Climbing", FlightAware ADS-B (TPE / RCTP)
Mon 11:52:11 AM,25.1366,121.2063,↙ 239°,281,323,"5,100","2,333 Climbing", FlightAware ADS-B (TSA / RCSS)
Mon 11:52:27 AM,25.1256,121.1863,↙ 239°,290,334,"5,625","1,337 Climbing", FlightAware ADS-B (TSA / RCSS)
Mon 11:52:57 AM,25.1033,121.1465,↙ 238°,324,373,"6,125","1,150 Climbing", FlightAware ADS-B (TSA / RCSS)
Mon 11:53:27 AM,25.077,121.1021,↙ 237°,347,399,"6,775","1,625 Climbing", FlightAware ADS-B (TSA / RCSS)
Mon 11:53:57 AM,25.0503,121.0558,↙ 238°,357,411,"7,750","2,000 Climbing", FlightAware ADS-B (TPE / RCTP)
Mon 11:54:27 AM,25.0242,121.0102,↙ 238°,364,419,"8,775","2,000 Climbing", FlightAware ADS-B (TSA / RCSS)
Mon 11:54:57 AM,24.9968,120.9633,↙ 237°,371,427,"9,750","2,139 Climbing", FlightAware ADS-B (TPE / RCTP)
