Time (EDT),Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Fri 01:34:52 AM,25.2282,55.4096,↘ 121°,197,227,900, Level, FlightAware ADS-B (NHD / OMDM)
Fri 01:35:10 AM,25.2192,55.4257,↘ 121°,198,228,"1,575","1,317 Climbing", FlightAware ADS-B (RKT / OMRK)
Fri 01:35:33 AM,25.2069,55.4471,↘ 122°,228,262,"1,800",861 Climbing, FlightAware ADS-B (RKT / OMRK)
Fri 01:36:04 AM,25.1887,55.4795,↘ 122°,260,299,"2,350","1,500 Climbing", FlightAware ADS-B (NHD / OMDM)
Fri 01:36:35 AM,25.1681,55.5159,↘ 122°,274,315,"3,350","1,795 Climbing", FlightAware ADS-B (DXB / OMDB)
Fri 01:37:05 AM,25.1484,55.5513,↘ 121°,274,315,"4,175","1,975 Climbing", FlightAware ADS-B (RKT / OMRK)
Fri 01:37:35 AM,25.1283,55.5872,↘ 122°,275,316,"5,325","2,373 Climbing", FlightAware ADS-B (RKT / OMRK)
Fri 01:38:00 AM,25.1097,55.6168,↘ 129°,277,319,"6,350","2,330 Climbing", FlightAware ADS-B (RKT / OMRK)
Fri 01:38:22 AM,25.0894,55.6399,↘ 135°,282,325,"7,150","1,500 Climbing", FlightAware ADS-B (RKT / OMRK)
Fri 01:38:53 AM,25.0604,55.6721,↘ 135°,312,359,"7,675","1,053 Climbing", FlightAware ADS-B (DXB / OMDB)
Fri 01:39:09 AM,25.0437,55.6906,↘ 135°,325,374,"7,975","1,109 Climbing", FlightAware ADS-B (RKT / OMRK)
Fri 01:39:39 AM,25.0089,55.7289,↘ 135°,351,404,"8,525","1,425 Climbing", FlightAware ADS-B (NHD / OMDM)
Fri 01:40:09 AM,24.9732,55.7682,↘ 135°,367,422,"9,400","1,964 Climbing", FlightAware ADS-B (NHD / OMDM)
Fri 01:40:34 AM,24.9415,55.7983,↘ 145°,370,426,"10,325","2,136 Climbing", FlightAware ADS-B (RKT / OMRK)
Fri 01:41:15 AM,24.8785,55.8322,↓ 156°,385,443,"11,750","2,238 Climbing", FlightAware ADS-B (RKT / OMRK)
Fri 01:41:35 AM,24.8444,55.854,↘ 143°,393,452,"12,600","2,580 Climbing", FlightAware ADS-B (RKT / OMRK)
Fri 01:42:05 AM,24.8078,55.8989,↘ 129°,394,453,"13,900","2,298 Climbing", FlightAware ADS-B (RKT / OMRK)
Fri 01:42:22 AM,24.7867,55.9193,↘ 146°,396,456,"14,400","2,053 Climbing", FlightAware ADS-B (AUH / OMAA)
Fri 01:42:43 AM,24.7511,55.9348,↓ 169°,397,457,"15,200","2,203 Climbing", FlightAware ADS-B (MCT / OOMS)
